© 2000-2023 QIAGEN. All rights reserved.

Categories	Functions	Diseases or Functions Annotation	p-value	B-H p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Cellular Function and Maintenance	engulfment	Engulfment of cells	3,59E-06	3,33E-02	Decreased	-4,979	ACTR2,ACTR3,AP2S1,ARPC2,ARPC3,ARPC4,ATP6V0D1,ATP6V1F,BRK1,CD47,CNN2,CORO1A,CSK,CXCR4,CYBA,EFHD2,FCMR,FGR,FLNA,GLRX,GNAI2,GRB2,GRN,GSN,HCK,HMOX1,HSH2D,ILK,ITGB2,JAK1,MYO1G,NCKAP1L,NME1,NME2,OGT,PARK7,PFN1,PKM,PLD4,PLEK,PSMD4,PTPN1,PTPN6,PTPRC,PYCARD,RAC1,RAC2,RHOA,RHOG,S100A10,SIGLEC10,SNX3,SPI1,SRA1,SYK,TLN1,TNF,UBE2L3,UCP2,VIM,WASF2,WIPF1	62
Cell-To-Cell Signaling and Interaction,Cellular Function and Maintenance,Inflammatory Response	phagocytosis	Phagocytosis of cells	5,93E-06	3,33E-02	Decreased	-4,314	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,BRK1,CD47,CNN2,CORO1A,CSK,CYBA,FCMR,FGR,FLNA,GLRX,GNAI2,GRB2,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,JAK1,MYO1G,NCKAP1L,PFN1,PKM,PLD4,PLEK,PSMD4,PTPN6,PTPRC,PYCARD,RAC1,RAC2,RHOA,RHOG,SIGLEC10,SNX3,SPI1,SYK,TLN1,TNF,UBE2L3,UCP2,VIM,WASF2	48
Organismal Injury and Abnormalities,Renal and Urological Disease	damage	Damage of kidney	2,13E-05	5,29E-02	 	-1,660	CXCR3,CXCR4,DUSP1,FGR,FKBP1A,GRN,HCK,PARP1,PKM,POU2F2,PREX1,RAC1,TLN1,TNF,TXNIP,YBX1	16
Cellular Function and Maintenance	internalization	Internalization of cells	2,89E-05	5,29E-02	Decreased	-4,490	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,BRK1,CD47,CNN2,CSK,FCMR,FGR,GLRX,GNAI2,GRB2,GRN,GSN,HCK,HMOX1,HSH2D,ILK,ITGB2,JAK1,MYO1G,NCKAP1L,PFN1,PKM,PLEK,PSMD4,PTPN6,PTPRC,RAC1,RAC2,RHOA,RHOG,SIGLEC10,SPI1,SYK,TLN1,TNF,UBE2L3,UCP2,VIM,WASF2	43
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Inflammatory Response	binding	Binding of professional phagocytic cells	3,45E-05	5,29E-02	Decreased	-3,065	CD99,CORO1A,CXCR4,FGR,FLNA,GLRX,HCK,ITGAX,ITGB2,ITGB7,LCP1,LSP1,NCKAP1L,PAK2,PKM,PREX1,PTPN22,PTPN6,PTPRC,RAC1,RAC2,RASGRP2,RHOA,SLC44A2,SPI1,TLN1,TNF	27
Cellular Development,Cellular Growth and Proliferation,Connective Tissue Development and Function,Tissue Development	cell proliferation	Cell proliferation of fibroblasts	3,45E-05	5,29E-02	Decreased	-3,211	ACTB,ARID3A,BRK1,CIB1,CKS2,DUSP1,GPI,GRB2,GRN,HMOX1,IFI30,ILK,NCOA4,OGT,PKM,PRDX1,PTPN6,RAC1,RAP1B,RHOA,SEPTIN6,TNF,TXNIP,VCP,VIM,WASF2,YBX1	27
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	interaction	Interaction of phagocytes	4,01E-05	5,29E-02	Decreased	-3,186	CD47,CD99,CORO1A,CXCR4,FGR,FLNA,GLRX,HCK,ITGAX,ITGB2,ITGB7,LCP1,LSP1,NCKAP1L,PAK2,PKM,PREX1,PTPN22,PTPN6,PTPRC,RAC1,RAC2,RASGRP2,RHOA,SLC44A2,SPI1,TLN1,TNF	28
Cell-To-Cell Signaling and Interaction	binding	Binding of myeloid cells	4,56E-05	5,29E-02	Decreased	-3,190	CD99,CIB1,CORO1A,CSK,FGR,FLNA,GLRX,HCK,ITGAX,ITGB2,ITGB7,LCP1,LSP1,NCKAP1L,PAK2,PKM,PREX1,PTPN22,PTPN6,PTPRC,RAC1,RAC2,RAP1B,RASGRP2,RHOA,SLC44A2,SPI1,TLN1,TNF	29
Cellular Function and Maintenance	endocytosis	Endocytosis by eukaryotic cells	4,73E-05	5,29E-02	Decreased	-4,697	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,ATP6V0D1,ATP6V1F,BRK1,CD47,CNN2,CSK,CXCR4,EFHD2,FCMR,FGR,FLNA,GLRX,GNAI2,GRB2,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,JAK1,MYO1G,NCKAP1L,NME1,NME2,OGT,PARK7,PFN1,PKM,PLEK,PSMD4,PTPN6,PTPRC,RAC1,RAC2,RHOA,RHOG,SIGLEC10,SPI1,SYK,TLN1,TNF,UBE2L3,UCP2,VIM,WASF2	51
Cellular Function and Maintenance,Inflammatory Response	phagocytosis	Phagocytosis	4,73E-05	5,29E-02	Decreased	-4,367	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,BRK1,CD47,CNN2,CORO1A,CSK,CYBA,FCMR,FGR,FLNA,GABARAPL2,GLRX,GNAI2,GRB2,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,JAK1,MYO1G,NCKAP1L,PFN1,PIKFYVE,PKM,PLD4,PLEK,PSMD4,PTPN6,PTPRC,PYCARD,RAC1,RAC2,RHOA,RHOG,SIGLEC10,SNX3,SPI1,SYK,TLN1,TNF,UBE2L3,UCP2,VCP,VIM,WASF2	51
Cellular Function and Maintenance	endocytosis	Endocytosis	5,18E-05	5,29E-02	Decreased	-4,776	ACTB,ACTG1,ACTR2,ACTR3,AP2S1,ARPC2,ARPC3,ARPC4,ATP6V0D1,ATP6V1F,BRK1,CAP1,CD47,CD82,CNN2,CSK,CXCR4,EEA1,EFHD2,FCMR,FGR,FLNA,GLRX,GNAI2,GRB2,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,JAK1,MYO1G,NCKAP1L,NME1,NME2,OGT,PARK7,PFN1,PKM,PLEK,PSMD4,PTPN1,PTPN6,PTPRC,PYCARD,RAC1,RAC2,RHOA,RHOG,S100A10,SIGLEC10,SPI1,SYK,TLN1,TNF,UBE2L3,UCP2,VCP,VIM,WASF2,WIPF1	62
Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of blood cells	8,32E-05	7,78E-02	Decreased	-2,858	ATP2A3,CD47,CD99,CIB1,CORO1A,CSK,CXCR3,CXCR4,FGR,FLNA,GLRX,GNAI2,HCK,ILK,ITGAX,ITGB2,ITGB7,JAK1,LCP1,LSP1,MAP4K1,MS4A1,MYO1G,NCKAP1L,PAK2,PKM,PREX1,PTPN22,PTPN6,PTPRC,RAC1,RAC2,RAP1B,RASGRP1,RASGRP2,RHOA,SLC44A2,SPI1,SYK,TLN1,TNF,VASP,VIM	43
Inflammatory Response	immune response	Immune response of cells	1,08E-04	9,31E-02	Decreased	-4,915	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,BRK1,CD19,CD47,CD68,CD79A,CNN2,CORO1A,CSK,CYBA,FCMR,FGR,FLNA,GAPDH,GLRX,GNAI2,GRB2,GRN,GSN,HCK,HLA-DQB1,HMOX1,HSH2D,ITGAX,ITGB2,JAK1,LITAF,MALT1,MAP4K1,MS4A1,MYO1G,NCKAP1L,PARP1,PFN1,PKM,PLD4,PLEK,PSMB8,PSMD4,PTPN6,PTPRC,PYCARD,RAC1,RAC2,RHOA,RHOG,SIGLEC10,SNX3,SPI1,SYK,TCIRG1,TLN1,TNF,TNFRSF1B,UBE2L3,UCP2,VASP,VIM,WASF2	63
Cellular Movement	cell movement	Cell movement of lymphoma cell lines	1,23E-04	9,34E-02	 	-1,221	BTG1,CD47,CXCR3,CXCR4,HVCN1,ITGB7,MS4A1,MTSS1,NME1,PARVG,RAC2,TNF	12
Cellular Assembly and Organization,Cellular Function and Maintenance	organization	Organization of actin cytoskeleton	1,25E-04	9,34E-02	Decreased	-2,395	ACTR2,ARHGDIB,ARPC5,BRK1,CAP1,CD47,CD82,CD99,CFL1,CORO1A,CSK,CSRP1,CXCR3,FGR,FLNA,GRB2,GSN,HCK,ILK,LCP1,MTSS1,NCKAP1L,PLEK,PTPN1,RAC1,RAC2,RHOA,RHOG,TLN1,TNF,TWF2,VASP,WASF2,WDR1	34
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking	adhesion	Adhesion of immune cells	1,38E-04	9,67E-02	Decreased	-2,838	CD47,CD99,CORO1A,CSK,CXCR3,CXCR4,FGR,FLNA,GLRX,GNAI2,HCK,ILK,ITGAX,ITGB2,ITGB7,JAK1,LCP1,LSP1,MAP4K1,MS4A1,MYO1G,NCKAP1L,PAK2,PKM,PREX1,PTPN22,PTPN6,PTPRC,RAC1,RAC2,RAP1B,RASGRP1,RASGRP2,RHOA,SLC44A2,SPI1,SYK,TLN1,TNF,VASP,VIM	41
Post-Translational Modification	phosphorylation	Phosphorylation of protein	2,21E-04	1,30E-01	 	-1,190	CALM1 (includes others),CD19,CD47,CD79A,CDK2AP1,CFL1,CIB1,CSK,CXCR4,DUSP1,DYNLL1,FCRL5,FGR,FLNA,HCK,HCST,ILK,ITGB2,JAK1,LAT2,MAP4K1,NCKAP1L,NME1,NOP53,PAK2,PARK7,PIKFYVE,PPIA,PRDX1,PSAP,PTPN1,PTPN22,PTPN6,PTPRC,RAC1,RASGRP1,SPI1,SRPK2,SYK,TAF10,TERF2IP,TNF	42
Cellular Function and Maintenance	ion homeostasis	Ion homeostasis of cells	2,26E-04	1,30E-01	 	-1,844	ANXA2,ATP2A3,ATP2B1,ATP6V0D1,CD19,CD52,CD79A,CXCR3,CXCR4,CYB561A3,EFHD2,FGR,FTL,HCK,HMOX1,IRAG2,ITGB2,LAT2,MS4A1,MT2A,MTMR14,NCOA4,NEAT1,NME2,PAK2,PARP1,PPIA,PTPRC,RAC1,RAC2,SYK,TCIRG1,TESC,TNF,UCP2,UNC93B1	36
Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of myeloid cells	2,31E-04	1,30E-01	Decreased	-3,020	CD99,CIB1,CORO1A,CSK,FGR,FLNA,GLRX,HCK,ITGAX,ITGB2,ITGB7,LCP1,NCKAP1L,PAK2,PREX1,PTPN22,PTPN6,RAC1,RAC2,RASGRP2,SLC44A2,SPI1,TLN1,TNF	24
Cellular Function and Maintenance	engulfment	Engulfment of leukocytes	2,31E-04	1,30E-01	Decreased	-2,662	CD47,CNN2,FCMR,FGR,GLRX,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,MYO1G,NCKAP1L,PTPN6,PTPRC,RAC1,RAC2,RHOA,RHOG,SPI1,SRA1,SYK,TNF,UCP2	24
Cardiovascular Disease,Organismal Injury and Abnormalities	formation	Formation of blood clot	2,48E-04	1,33E-01	 	-0,850	ANXA2,ATP2A3,CSK,ITGB2,PTPN22,RAP1B,RHOA,RHOG,SYK,TNF,TNFRSF1B,TWF2,VIM	13
Cellular Movement,Hematological System Development and Function,Humoral Immune Response,Immune Cell Trafficking	cell movement	Cell movement of B lymphocytes	2,72E-04	1,39E-01	Decreased	-2,785	CD19,CD47,COMMD8,CXCR3,CXCR4,GNAI2,ITGB7,LCP1,MALT1,MYO1G,RAC1,RAC2,RAP1B,TNF,TNFRSF1B,WIPF1	16
