© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Actin Cytoskeleton Signaling	5,63E00	7,56E-01	-4,315	ACTB,ACTG1,ACTR2,ACTR3,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARPC5L,BRK1,CFL1,CSK,FLNA,GRB2,GSN,ITGAX,ITGB2,ITGB7,MYL12A,MYL6,NCKAP1L,PAK2,PFN1,RAC1,RAC2,RAP1B,RHOA,TLN1,TMSB10/TMSB4X,WASF2	
Integrin Signaling	4,25E00	6,89E-01	-4,642	ACTB,ACTG1,ACTR2,ACTR3,ARF5,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARPC5L,CAPNS1,GRB2,GSN,ILK,ITGAX,ITGB2,ITGB7,MYL12A,PAK2,PFN1,PIKFYVE,RAC1,RAC2,RAP1B,RHOA,RHOG,TLN1,VASP,WIPF1,ZYX	
RHOA Signaling	3,75E00	7,83E-01	-4,243	ACTB,ACTG1,ACTR2,ACTR3,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARPC5L,CFL1,MYL12A,MYL6,PFN1,PIKFYVE,RHOA,SEPTIN6,SEPTIN7	
RAC Signaling	3,26E00	7,31E-01	-3,873	ACTR2,ACTR3,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARPC5L,BRK1,CFL1,ITGAX,ITGB2,ITGB7,PAK2,PIKFYVE,RAC1,RAC2,RAP1B,RHOA	
Actin Nucleation by ARP-WASP Complex	3,26E00	7,31E-01	-3,606	ACTR2,ACTR3,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARPC5L,GRB2,ITGAX,ITGB2,ITGB7,RAC1,RAC2,RAP1B,RHOA,RHOG,VASP,WIPF1	
CD28 Signaling in T Helper Cells	3,11E00	6,88E-01	-3,000	ACTR2,ACTR3,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARPC5L,CALM1 (includes others),CSK,GRB2,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,MALT1,PTPN6,PTPRC,RAC1,SYK	
CDC42 Signaling	3,11E00	6,88E-01	-3,051	ACTR2,ACTR3,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARPC5L,CFL1,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,ITGAX,ITGB2,ITGB7,MYL12A,MYL6,PAK2,WIPF1	
Phagosome Formation	2,79E00	6,04E-01	-5,303	ACTR2,ACTR3,AP1S2,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARPC5L,CFL1,FGR,GRB2,HCK,HMOX1,ITGAX,ITGB2,ITGB7,MALT1,MYL12A,MYL6,PAK2,PIKFYVE,PLD4,RAC1,RAC2,RAP1B,RASGRP1,RHOA,SYK,TLN1,WASF2,WIPF1	
Sertoli Cell Germ Cell Junction Signaling Pathway (Enhanced)	2,72E00	7,08E-01	-2,668	ACTB,ACTG1,ACTR2,ACTR3,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARPC5L,ILK,RAC1,RAC2,RAP1B,TNF,TNFRSF1B,ZYX	
RHOGDI Signaling	2,56E00	6,19E-01	3,578	ACTB,ACTG1,ACTR2,ACTR3,ARHGDIB,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARPC5L,CFL1,GNAI2,GNG5,ITGAX,ITGB2,ITGB7,MYL12A,MYL6,PAK2,PIKFYVE,RAC1,RAC2,RHOA,RHOG,WASF2	
PAK Signaling	2,44E00	7,86E-01	-2,646	CFL1,GRB2,ITGAX,ITGB2,ITGB7,MYL12A,MYL6,PAK2,RAC1,RAP1B,TNF	
Epithelial Adherens Junction Signaling	2,39E00	6,67E-01	-3,300	ACTR2,ACTR3,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,ARPC5L,CFL1,MYL12A,PAK2,RAC1,RAP1B,RHOA,TCF4,YWHAB,YWHAE,YWHAH	
