© 2000-2023 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
miR-16-5p (and other miRNAs w/seed AGCAGCA)	 	mature microRNA	Activated	3,675	bias	5,91E-03	6,39E-01	GRB2,GRN,H3-3A/H3-3B,HMGA1,HMOX1,LAMTOR5,OGT,SLC38A1,SPI1,TPI1,TPM3,UCP2,WIPF1,ZYX	 
mir-802	 	microRNA	Activated	3,628	bias	1,93E-03	6,39E-01	ACTR2,ACTR3,ARPC3,ARPC4,ARPC5,BRK1,CXCR4,GSN,MYL12A,MYL6,RAC1,RAP1B,RHOA,TCF4,TESC,VIM,WIPF1	 
metformin	 	chemical drug	Activated	2,995	 	3,29E-01	6,39E-01	BTG1,DUSP1,HMOX1,ILK,PARP1,PEA15,PKM,TNF,UCP2	 
IL9	 	cytokine	Activated	2,976	bias	3,09E-02	6,39E-01	ARPC4,ARPC5L,CAPZB,CFL1,GRB2,RAC2,S100A10,SPTAN1,TNF	 
miR-155-5p (miRNAs w/seed UAAUGCU)	 	mature microRNA	Activated	2,759	bias	2,83E-02	6,39E-01	CD47,CUX1,RAC1,RHOA,SPI1,TCF4,TNF,VIM	 
dexamethasone	 	chemical drug	Activated	2,646	 	3,62E-03	6,39E-01	ACTB,ACTR3,ATP2B1,ATP5MC2,BTG1,CD47,CD52,CDCA7L,CDV3,CFL1,CHD4,CLIC1,CNN2,CRIP1,CXCR3,CXCR4,DDAH2,DECR1,DHRS9,DUSP1,EEF1A1,EIF6,FABP5,FCMR,FTL,GAPDH,GLUL,GNAI2,GRN,GUK1,HCST,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HMGA1,HMOX1,IDS,ITGB7,JAK1,LAPTM5,LITAF,LSP1,LY6E,MEF2A,MEF2C,MS4A1,NCOA4,NDUFV2,OAS1,OSTF1,PDLIM1,PIKFYVE,PLAC8,PLD4,PLEK,PPP1CA,PSAP,PSMA2,PTPN22,RHOA,S100A10,SAMHD1,SAT1,SEPTIN7,SERPINB1,SLC25A5,SLC44A2,SPI1,SRM,SRSF9,SYK,TCF4,TCIRG1,TLE5,TNF,TPT1,TSC22D3,TWF2,TXNIP,UCP2,UGCG,VCP,VIM,WDR1,WIPF1	 
mir-8	 	microRNA	Activated	2,591	bias	3,32E-02	6,39E-01	CD47,GRB2,HMOX1,JAK1,RAC1,SLC25A3,TNF,VIM,WIPF1,YWHAB,ZEB2	 
miR-17-5p (and other miRNAs w/seed AAAGUGC)	 	mature microRNA	Activated	2,403	bias	1,83E-02	6,39E-01	JAK1,MT2A,NCOA3,RHOA,TNF,VIM	 
Lh	 	complex	Activated	2,345	 	4,23E-01	6,66E-01	ACP5,ACTB,ACTR2,ARL6IP5,ARPC4,ATP2B1,CXCR4,DUSP1,EEF1A1,EEF1B2,ILK,PTPN1,SLC38A1,TCF4,TLN1	 
fluticasone propionate	 	chemical drug	Activated	2,246	bias	3,32E-02	6,39E-01	HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DRA,ITGB7,MT2A,PLAC8,SIGLEC10,TPM3,TSC22D3	 
rolipram	 	chemical drug	Activated	2,159	 	9,49E-02	6,39E-01	CXCR4,DUSP1,PTPN1,PYCARD,TNF	 
estrogen receptor	 	group	Activated	2,157	 	4,34E-01	6,81E-01	CD68,CD99,CXCR4,IGF2BP3,LY6E,SAT1,TSC22D3,VIM	 
TSC1	 	other	Activated	2,119	bias	3,32E-02	6,39E-01	CLIC1,FLNA,GLRX,GLUL,HMOX1,LITAF,NME1,NME2,PSAP,TNF,VDAC1	 
PTGS2	 	enzyme	Activated	2,106	 	1,40E-01	6,39E-01	ANXA2,CD68,CXCR4,DUSP1,DYNLL1,HLA-DMB,HLA-DQA1,HLA-DQB1,PSAP,PSMB8,PYCARD,RHOA,SIGLEC10,TNF	 
